mbgd_gene_id	protein_id
ash:AL1_RS02635	ncbip:WP_044053973.1
ash:AL1_RS02650	ncbip:WP_044054682.1
ash:AL1_RS02655	ncbip:WP_015546123.1
ash:AL1_RS02680	ncbip:WP_015546124.1
ash:AL1_RS02685	ncbip:WP_015546125.1
ash:AL1_RS02690	ncbip:WP_015546126.1
ash:AL1_RS02695	ncbip:WP_015546127.1
ash:AL1_RS02700	ncbip:WP_015546128.1
ash:AL1_RS02705	ncbip:WP_015546129.1
ash:AL1_RS02720	ncbip:WP_044053977.1
ash:AL1_RS02725	ncbip:WP_015546132.1
ash:AL1_RS02735	ncbip:WP_015546133.1
ash:AL1_RS02750	ncbip:WP_015546134.1
ash:AL1_RS02785	ncbip:WP_015546138.1
ash:AL1_RS02790	ncbip:WP_015546139.1
ash:AL1_RS02800	ncbip:WP_015546140.1
ash:AL1_RS02815	ncbip:WP_015546143.1
ash:AL1_RS02830	ncbip:WP_015546145.1
ash:AL1_RS02835	ncbip:WP_015546146.1
ash:AL1_RS02870	ncbip:WP_015546148.1
ash:AL1_RS02875	ncbip:WP_015546149.1
ash:AL1_RS02890	ncbip:WP_015546152.1
ash:AL1_RS02895	ncbip:WP_015546153.1
ash:AL1_RS02915	ncbip:WP_044053989.1
ash:AL1_RS02925	ncbip:WP_044053991.1
ash:AL1_RS02940	ncbip:WP_044054685.1
ash:AL1_RS02950	ncbip:WP_015546164.1
ash:AL1_RS02955	ncbip:WP_044053993.1
ash:AL1_RS02965	ncbip:WP_015546166.1
ash:AL1_RS02995	ncbip:WP_015546171.1
ash:AL1_RS03000	ncbip:WP_014775870.1
ash:AL1_RS03010	ncbip:WP_044053995.1
ash:AL1_RS03020	ncbip:WP_009597486.1
ash:AL1_RS03025	ncbip:WP_044053997.1
ash:AL1_RS03040	ncbip:WP_015546175.1
ash:AL1_RS03045	ncbip:WP_015546176.1
ash:AL1_RS03050	ncbip:WP_015546177.1
ash:AL1_RS03055	ncbip:WP_015546178.1
ash:AL1_RS03065	ncbip:WP_015546179.1
ash:AL1_RS03075	ncbip:WP_015546180.1
ash:AL1_RS03085	ncbip:WP_015546182.1
ash:AL1_RS03090	ncbip:WP_015546183.1
ash:AL1_RS03095	ncbip:WP_015546184.1
ash:AL1_RS03100	ncbip:WP_015546185.1
ash:AL1_RS03110	ncbip:WP_015546187.1
ash:AL1_RS03115	ncbip:WP_022061620.1
ash:AL1_RS03125	ncbip:WP_044054688.1
ash:AL1_RS03130	ncbip:WP_015546191.1
ash:AL1_RS03135	ncbip:WP_022061616.1
ash:AL1_RS03140	ncbip:WP_015546193.1
ash:AL1_RS03145	ncbip:WP_015546194.1
ash:AL1_RS03155	ncbip:WP_015546197.1
ash:AL1_RS03160	ncbip:WP_015546198.1
ash:AL1_RS03170	ncbip:WP_015546199.1
ash:AL1_RS03175	ncbip:WP_015546200.1
ash:AL1_RS03180	ncbip:WP_015546201.1
ash:AL1_RS03190	ncbip:WP_044054000.1
ash:AL1_RS03200	ncbip:WP_015546203.1
ash:AL1_RS03205	ncbip:WP_015546204.1
ash:AL1_RS03230	ncbip:WP_015546206.1
ash:AL1_RS03235	ncbip:WP_015546207.1
ash:AL1_RS03240	ncbip:WP_015546208.1
ash:AL1_RS03265	ncbip:WP_015546211.1
ash:AL1_RS03275	ncbip:WP_015546213.1
ash:AL1_RS03295	ncbip:WP_015546216.1
ash:AL1_RS03305	ncbip:WP_015546217.1
ash:AL1_RS03310	ncbip:WP_015546218.1
ash:AL1_RS03320	ncbip:WP_015546220.1
ash:AL1_RS03325	ncbip:WP_015546221.1
ash:AL1_RS03330	ncbip:WP_015546222.1
ash:AL1_RS03335	ncbip:WP_015546223.1
ash:AL1_RS03345	ncbip:WP_044054692.1
ash:AL1_RS03350	ncbip:WP_015546225.1
ash:AL1_RS03360	ncbip:WP_015546227.1
ash:AL1_RS03365	ncbip:WP_015546228.1
ash:AL1_RS03380	ncbip:WP_015546230.1
ash:AL1_RS03400	ncbip:WP_015546232.1
ash:AL1_RS03405	ncbip:WP_015546233.1
ash:AL1_RS03415	ncbip:WP_015546235.1
ash:AL1_RS03435	ncbip:WP_015546239.1
ash:AL1_RS03440	ncbip:WP_044054007.1
ash:AL1_RS03445	ncbip:WP_015546242.1
ash:AL1_RS03455	ncbip:WP_015546243.1
ash:AL1_RS03465	ncbip:WP_015546244.1
ash:AL1_RS03515	ncbip:WP_015546253.1
ash:AL1_RS03520	ncbip:WP_015546255.1
ash:AL1_RS03525	ncbip:WP_044054010.1
ash:AL1_RS03530	ncbip:WP_044054011.1
ash:AL1_RS03575	ncbip:WP_015546267.1
ash:AL1_RS03585	ncbip:WP_015546269.1
ash:AL1_RS03600	ncbip:WP_044054698.1
ash:AL1_RS03610	ncbip:WP_015546273.1
ash:AL1_RS03620	ncbip:WP_015546275.1
ash:AL1_RS03640	ncbip:WP_044054014.1
ash:AL1_RS03645	ncbip:WP_015546278.1
ash:AL1_RS03650	ncbip:WP_015546279.1
ash:AL1_RS03655	ncbip:WP_044054015.1
ash:AL1_RS03660	ncbip:WP_044054016.1
ash:AL1_RS03665	ncbip:WP_015546282.1
ash:AL1_RS03670	ncbip:WP_015546283.1
ash:AL1_RS03695	ncbip:WP_044054700.1
ash:AL1_RS03700	ncbip:WP_015546287.1
ash:AL1_RS03705	ncbip:WP_015546288.1
ash:AL1_RS03715	ncbip:WP_015546290.1
ash:AL1_RS03730	ncbip:WP_044054022.1
ash:AL1_RS03735	ncbip:WP_015546292.1
ash:AL1_RS03740	ncbip:WP_015546293.1
ash:AL1_RS03755	ncbip:WP_044054703.1
ash:AL1_RS03765	ncbip:WP_015546297.1
ash:AL1_RS03770	ncbip:WP_015546298.1
ash:AL1_RS03780	ncbip:WP_015546301.1
ash:AL1_RS03785	ncbip:WP_015546302.1
ash:AL1_RS03790	ncbip:WP_015546303.1
ash:AL1_RS03810	ncbip:WP_015546304.1
ash:AL1_RS03815	ncbip:WP_015546305.1
ash:AL1_RS03840	ncbip:WP_015546308.1
ash:AL1_RS03845	ncbip:WP_015546309.1
ash:AL1_RS03850	ncbip:WP_044054033.1
ash:AL1_RS03860	ncbip:WP_044054704.1
ash:AL1_RS03865	ncbip:WP_044054705.1
ash:AL1_RS03880	ncbip:WP_015546316.1
ash:AL1_RS03885	ncbip:WP_015546317.1
ash:AL1_RS03895	ncbip:WP_015546319.1
ash:AL1_RS03900	ncbip:WP_015546320.1
ash:AL1_RS03905	ncbip:WP_015546321.1
ash:AL1_RS03920	ncbip:WP_015546323.1
ash:AL1_RS03935	ncbip:WP_015546326.1
ash:AL1_RS03940	ncbip:WP_044054040.1
ash:AL1_RS03950	ncbip:WP_015546329.1
ash:AL1_RS03955	ncbip:WP_015546330.1
ash:AL1_RS03970	ncbip:WP_044054707.1
ash:AL1_RS04010	ncbip:WP_015546341.1
ash:AL1_RS04050	ncbip:WP_015546349.1
ash:AL1_RS04055	ncbip:WP_015546350.1
ash:AL1_RS04060	ncbip:WP_044054047.1
ash:AL1_RS04080	ncbip:WP_044054049.1
ash:AL1_RS04110	ncbip:WP_015546362.1
ash:AL1_RS04115	ncbip:WP_015546363.1
ash:AL1_RS04145	ncbip:WP_044054708.1
ash:AL1_RS04195	ncbip:WP_015546375.1
ash:AL1_RS04200	ncbip:WP_044054709.1
ash:AL1_RS04215	ncbip:WP_044054060.1
ash:AL1_RS04220	ncbip:WP_044054062.1
ash:AL1_RS04235	ncbip:WP_044054711.1
ash:AL1_RS04240	ncbip:WP_015546386.1
ash:AL1_RS04245	ncbip:WP_015546387.1
ash:AL1_RS04260	ncbip:WP_004370832.1
ash:AL1_RS04265	ncbip:WP_015546389.1
ash:AL1_RS04270	ncbip:WP_015546390.1
ash:AL1_RS04285	ncbip:WP_004310673.1
ash:AL1_RS04295	ncbip:WP_015546394.1
ash:AL1_RS04300	ncbip:WP_004310825.1
ash:AL1_RS04305	ncbip:WP_015546395.1
ash:AL1_RS04330	ncbip:WP_015546400.1
ash:AL1_RS04340	ncbip:WP_015546403.1
ash:AL1_RS04350	ncbip:WP_004371346.1
ash:AL1_RS04360	ncbip:WP_006951756.1
ash:AL1_RS04375	ncbip:WP_015546406.1
ash:AL1_RS04390	ncbip:WP_015546408.1
ash:AL1_RS04395	ncbip:WP_004371360.1
ash:AL1_RS04400	ncbip:WP_015546409.1
ash:AL1_RS04410	ncbip:WP_044054073.1
ash:AL1_RS04460	ncbip:WP_015546416.1
ash:AL1_RS04480	ncbip:WP_004328559.1
ash:AL1_RS04485	ncbip:WP_004328558.1
ash:AL1_RS04495	ncbip:WP_015546419.1
ash:AL1_RS04500	ncbip:WP_015546420.1
ash:AL1_RS04530	ncbip:WP_015546425.1
ash:AL1_RS04535	ncbip:WP_015546426.1
ash:AL1_RS04555	ncbip:WP_015546429.1
ash:AL1_RS04575	ncbip:WP_015546434.1
ash:AL1_RS04580	ncbip:WP_015546435.1
ash:AL1_RS04655	ncbip:WP_015546444.1
ash:AL1_RS04665	ncbip:WP_015546446.1
ash:AL1_RS04670	ncbip:WP_015546447.1
ash:AL1_RS04675	ncbip:WP_015546448.1
ash:AL1_RS04690	ncbip:WP_015546450.1
ash:AL1_RS04715	ncbip:WP_015546453.1
ash:AL1_RS04745	ncbip:WP_015546458.1
ash:AL1_RS04750	ncbip:WP_026318417.1
ash:AL1_RS04760	ncbip:WP_015546460.1
ash:AL1_RS04775	ncbip:WP_015546461.1
ash:AL1_RS04780	ncbip:WP_015546462.1
ash:AL1_RS04785	ncbip:WP_015546463.1
ash:AL1_RS04805	ncbip:WP_015546466.1
ash:AL1_RS04810	ncbip:WP_015546467.1
ash:AL1_RS04815	ncbip:WP_015546468.1
ash:AL1_RS04820	ncbip:WP_015546469.1
ash:AL1_RS04830	ncbip:WP_015546470.1
ash:AL1_RS04845	ncbip:WP_015546473.1
ash:AL1_RS04850	ncbip:WP_015546474.1
ash:AL1_RS04860	ncbip:WP_044054722.1
ash:AL1_RS04865	ncbip:WP_015546477.1
ash:AL1_RS04870	ncbip:WP_044054723.1
ash:AL1_RS04875	ncbip:WP_044054724.1
ash:AL1_RS04885	ncbip:WP_015546482.1
ash:AL1_RS04900	ncbip:WP_015546483.1
ash:AL1_RS04905	ncbip:WP_015546484.1
ash:AL1_RS04920	ncbip:WP_015546487.1
ash:AL1_RS04950	ncbip:WP_015546492.1
ash:AL1_RS04955	ncbip:WP_015546493.1
ash:AL1_RS04960	ncbip:WP_015546494.1
ash:AL1_RS04965	ncbip:WP_015546495.1
ash:AL1_RS04970	ncbip:WP_015546496.1
ash:AL1_RS04975	ncbip:WP_015546497.1
ash:AL1_RS04985	ncbip:WP_015546499.1
ash:AL1_RS04990	ncbip:WP_015546500.1
ash:AL1_RS04995	ncbip:WP_015546501.1
ash:AL1_RS05000	ncbip:WP_015546502.1
ash:AL1_RS05010	ncbip:WP_015546503.1
ash:AL1_RS05015	ncbip:WP_015546504.1
ash:AL1_RS05025	ncbip:WP_015546506.1
ash:AL1_RS05030	ncbip:WP_015546507.1
ash:AL1_RS05035	ncbip:WP_015546508.1
ash:AL1_RS05040	ncbip:WP_015546509.1
ash:AL1_RS05045	ncbip:WP_015546510.1
ash:AL1_RS05055	ncbip:WP_015546512.1
ash:AL1_RS05065	ncbip:WP_015546513.1
ash:AL1_RS05070	ncbip:WP_015546514.1
ash:AL1_RS05075	ncbip:WP_022061941.1
ash:AL1_RS05100	ncbip:WP_015546517.1
ash:AL1_RS05110	ncbip:WP_015546519.1
ash:AL1_RS05140	ncbip:WP_015546524.1
ash:AL1_RS05145	ncbip:WP_015546525.1
ash:AL1_RS05165	ncbip:WP_015546529.1
ash:AL1_RS05170	ncbip:WP_015546530.1
ash:AL1_RS05175	ncbip:WP_015546531.1
ash:AL1_RS05185	ncbip:WP_015546533.1
ash:AL1_RS05190	ncbip:WP_015546534.1
ash:AL1_RS05200	ncbip:WP_015546535.1
ash:AL1_RS05240	ncbip:WP_044054121.1
ash:AL1_RS05245	ncbip:WP_015546543.1
ash:AL1_RS05250	ncbip:WP_015546544.1
ash:AL1_RS05255	ncbip:WP_015546545.1
ash:AL1_RS05275	ncbip:WP_015546549.1
ash:AL1_RS05280	ncbip:WP_015546550.1
ash:AL1_RS05285	ncbip:WP_015546551.1
ash:AL1_RS05305	ncbip:WP_015546552.1
ash:AL1_RS05315	ncbip:WP_044054734.1
ash:AL1_RS05320	ncbip:WP_015546555.1
ash:AL1_RS05335	ncbip:WP_015546558.1
ash:AL1_RS05355	ncbip:WP_015546561.1
ash:AL1_RS05360	ncbip:WP_015546562.1
ash:AL1_RS05365	ncbip:WP_015546563.1
ash:AL1_RS05380	ncbip:WP_015546565.1
ash:AL1_RS05390	ncbip:WP_015546567.1
ash:AL1_RS05395	ncbip:WP_022061504.1
ash:AL1_RS05400	ncbip:WP_015546569.1
ash:AL1_RS05405	ncbip:WP_015546570.1
ash:AL1_RS05410	ncbip:WP_015546572.1
ash:AL1_RS05415	ncbip:WP_015546573.1
ash:AL1_RS05435	ncbip:WP_015546576.1
ash:AL1_RS05440	ncbip:WP_015546577.1
ash:AL1_RS05445	ncbip:WP_015546578.1
ash:AL1_RS05455	ncbip:WP_015546580.1
ash:AL1_RS05470	ncbip:WP_015546582.1
ash:AL1_RS05475	ncbip:WP_015546583.1
ash:AL1_RS05490	ncbip:WP_015546584.1
ash:AL1_RS05500	ncbip:WP_015546585.1
ash:AL1_RS05510	ncbip:WP_015546587.1
ash:AL1_RS05515	ncbip:WP_015546588.1
ash:AL1_RS05520	ncbip:WP_015546589.1
ash:AL1_RS05525	ncbip:WP_015546590.1
ash:AL1_RS05530	ncbip:WP_015546591.1
ash:AL1_RS05535	ncbip:WP_015546592.1
ash:AL1_RS05540	ncbip:WP_015546593.1
ash:AL1_RS05545	ncbip:WP_015546594.1
ash:AL1_RS05550	ncbip:WP_015546595.1
ash:AL1_RS05555	ncbip:WP_044054131.1
ash:AL1_RS05570	ncbip:WP_044054135.1
ash:AL1_RS05580	ncbip:WP_015546600.1
ash:AL1_RS05620	ncbip:WP_044054141.1
ash:AL1_RS05625	ncbip:WP_044054142.1
ash:AL1_RS05635	ncbip:WP_015546607.1
ash:AL1_RS05640	ncbip:WP_015546609.1
ash:AL1_RS05670	ncbip:WP_015546614.1
ash:AL1_RS05705	ncbip:WP_015546619.1
ash:AL1_RS05710	ncbip:WP_015546620.1
ash:AL1_RS05725	ncbip:WP_015546622.1
ash:AL1_RS05740	ncbip:WP_015546624.1
ash:AL1_RS05760	ncbip:WP_015546626.1
ash:AL1_RS05765	ncbip:WP_015546627.1
ash:AL1_RS05770	ncbip:WP_015546628.1
ash:AL1_RS05775	ncbip:WP_015546629.1
ash:AL1_RS05785	ncbip:WP_015546631.1
ash:AL1_RS05795	ncbip:WP_009598544.1
ash:AL1_RS05800	ncbip:WP_015546632.1
ash:AL1_RS05805	ncbip:WP_009598571.1
ash:AL1_RS05810	ncbip:WP_009598553.1
ash:AL1_RS05870	ncbip:WP_015546640.1
ash:AL1_RS05900	ncbip:WP_009598561.1
ash:AL1_RS05910	ncbip:WP_009598564.1
ash:AL1_RS05920	ncbip:WP_014776089.1
