metabolite,molecular_formula,knapsack_cid,function,target,bunken
Indole-3-acetic acid;IAA,C10H9NO2,C00000100,induce shoot regeneration on leaf disk,Solanum laciniatum,"Davies,Z.Pflanenphysiol.,92,(1979),51-60"
Indole-3-acetic acid;IAA,C10H9NO2,C00000100,induce shoot regeneration on protonemata,Bryum atrovirens,"Chopra,Aust.J.Bot.,38,(1990),177-184"
Indole-3-acetic acid;IAA,C10H9NO2,C00000100,induce vascular differentiation in callus,Daucus carota,"Aloni,Planta,150,(1980),255-263"
Indole-3-acetic acid;IAA,C10H9NO2,C00000100,induce vascular differentiation in callus,Glycine max,"Aloni,Planta,150,(1980),255-263"
Indole-3-acetic acid;IAA,C10H9NO2,C00000100,induce vascular differentiation in callus,Syringa vulgaris,"Aloni,Planta,150,(1980),255-263"
Indole-3-acetic acid;IAA,C10H9NO2,C00000100,induce vascular differentiation in root,Helianthus annuus,"Evans,Ann.Bot.,49,(1982),141-147"
Indole-3-acetic acid;IAA,C10H9NO2,C00000100,induce vascular differentiation in shoot,Pinus silvestris,"Zajaczkowski,Physiol.Plant.,29,(1973),281-287;Zajaczkowski,Physiol.Plant.,33,(1975),71-74;Sundberg,Plant Physiol.,94,(1990),1295-1302"
Indole-3-acetic acid;IAA,C10H9NO2,C00000100,induce vascular differentiation in stem,Coleus blumei,"LaMotte,Dev.Biol.,8,(1963),80-98;Thompson,Plant Physiol.,41,(1966),673-682;Bruck,New Phytol.,96,(1984),353-370;Aloni,Plant Physiol.,94,(1990),1743-1747"
Indole-3-acetic acid;IAA,C10H9NO2,C00000100,inhibit coleoptile elongation,Avena sativa,"Ball,J.Exp.Bot.,7,(1956),25-41"
Indole-3-acetic acid;IAA,C10H9NO2,C00000100,inhibit embryo germination,Colocasia esculenta,"Jackson,J.Hortic.Sci.,52,(1977),169-171"
Indole-3-acetic acid;IAA,C10H9NO2,C00000100,inhibit embryo germination,Triticum aestivum,"Morris,Plant Physiol.,88,(1988),435-440"
(-)-megaphone,C22H30O6,C00000588,cytotoxic activity,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter39"
safrole,C10H10O2,C00002771,DNA-binding activity,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter42"
safrole,C10H10O2,C00002771,hypothermic activity,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter42"
safrole,C10H10O2,C00002771,induce cytochrome P450,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter42"
safrole,C10H10O2,C00002771,inhibit platelet aggregation in vitro,Oryctolagus cuniculus,"Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter42"
safrole,C10H10O2,C00002771,low grade hepatocarcinogen,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter42"
safrole,C10H10O2,C00002771,moderately toxic,Homo sapiens,"Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter42"
safrole,C10H10O2,C00002771,stimulate liver regeneration,Rattus norvegicus,"Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter42"
safrole,C10H10O2,C00002771,used as a carminative,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter42"
safrole,C10H10O2,C00002771,used as a pediculicide,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter42"
safrole,C10H10O2,C00002771,used as a topical antiseptic,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter42"
safrole,C10H10O2,C00002771,used in the manufacture of heliotropin,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter42"
3-Acethyl-6-methoxybenzaldehyde,C10H10O3,C00000171,allelopathic activity,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter41"
coniferyl aldehyde,C10H10O3,C00002728,antifungal activity,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter42"
coniferyl aldehyde,C10H10O3,C00002728,inhibit ear oedema,Rattus norvegicus,"Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter42"
coniferyl aldehyde,C10H10O3,C00002728,inhibit prostaglandin synthetase,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter42"
ferulic acid,C10H10O4,C00002743,act as a serotonin antagonist,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter42"
ferulic acid,C10H10O4,C00002743,antibacterial activity,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter42"
ferulic acid,C10H10O4,C00002743,antifungal activity,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter42"
ferulic acid,C10H10O4,C00002743,antihepatotoxic activity,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter42"
ferulic acid,C10H10O4,C00002743,antimitotic activity,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter42"
ferulic acid,C10H10O4,C00002743,antioestrogenic activity,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter42"
cis-trans-Nepetalactone,C10H14O2,C00003091,potent ability to excite,Falidae,"Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter49"
cis-trans-Nepetalactone,C10H14O2,C00003091,repellent,Insecta,"Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter49"
trans-cis-Nepetalactone,C10H14O2,C00003092,potent ability to excite,Falidae,"Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter49"
trans-cis-Nepetalactone,C10H14O2,C00003092,repellent,Insecta,"Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter49"
dihydroconiferyl alcohol,C10H14O3,C00002736,synergist of gibberellic acid in inducing elongation of hypocotyl,Lactuca sativa,"Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter42"
isosafrole,C10H10O2,C00002753,inductor of cytochrome P450,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter42"
isosafrole,C10H10O2,C00002753,moderately toxic,Homo sapiens,"Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter42"
isosafrole,C10H10O2,C00002753,similar to safrole,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter42"
isosafrole,C10H10O2,C00002753,stimulate liver regeneration,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter42"
isosafrole,C10H10O2,C00002753,stimulate liver regeneration,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter42"
isosafrole,C10H10O2,C00002753,used in the manufacture of heliotropin,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter42"
ferulic acid,C10H10O4,C00002743,antitumour activity,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter42"
ferulic acid,C10H10O4,C00002743,antiyeast activity,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter42"
ferulic acid,C10H10O4,C00002743,hydrocholeretic effect,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter42"
ferulic acid,C10H10O4,C00002743,inhibit platelet aggregation in vitro,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter42"
ferulic acid,C10H10O4,C00002743,stimulate phagocytosis,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter42"
ferulic acid,C10H10O4,C00002743,used as a food preservative,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter42"
methyl caffeate,C10H10O4,C00002759,antifungal activity against Sarcoma 180,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter42"
methyl caffeate,C10H10O4,C00002759,weak antimicrobial activity,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter42"
"2,4,8-Trihydroxy-1-tetralone",C10H10O4,C00003020,induce necrotic lesions in susceptible cultivars at a concentration of 5 microg/ml in less than 12 hours,Musa acuminata,"Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter47"
cichorine,C10H11NO3,C00002325,cause necrotic lesions in the leaf at a concentration of 5* 10^(-3) M,Acroptilon repens,"Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter31"
tryptophol,C10H11NO,C00001556,cause necrotic symptoms when applied at a concentration of 6.2*10^(-4) mol/dm(-3),Eleusine indica,"Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter16"
tryptamine,C10H12N2,C00001434,precursor of indoleacetic acid,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter11"
serotonin,C10H12N2O,C00001429,"neurotransmitter in the central nervous system, not pass the blood-brain barrier","","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter11"
3' 5'-cyclic AMP,C10H12N5O6P,C00001497,involved in hormone-mediated biological systems as a second messenger molecule,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter14"
eugenol,C10H12O2,C00000619,anticonvulsant activity,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter42"
eugenol,C10H12O2,C00000619,antimitotic activity,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter42"
eugenol,C10H12O2,C00000619,antioxidant activity,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter42"
eugenol,C10H12O2,C00000619,antiyeast activity,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter42"
eugenol,C10H12O2,C00000619,central nervous system depressant activity,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter42"
eugenol,C10H12O2,C00000619,hypothermic activity,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter42"
eugenol,C10H12O2,C00000619,inhibit carrageenan-induced foot inflammation,Rattus norvegicus,"Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter42"
eugenol,C10H12O2,C00000619,inhibit platelet aggregation in vitro,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter42"
eugenol,C10H12O2,C00000619,inhibit prostaglandin synthesis by human colonic mucosa,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter42"
eugenol,C10H12O2,C00000619,inhibit smooth muscle activity in vitro,Animalia,"Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter42"
eugenol,C10H12O2,C00000619,inhibit the metabolism of arachidonic acid by human polymorphonuclear leukocytes,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter42"
eugenol,C10H12O2,C00000619,spasmolytic activity,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter42"
eugenol,C10H12O2,C00000619,used as an anaesthtic in dentistry,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter42"
eugenol,C10H12O2,C00000619,used as an antiseptic in dentistry,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter42"
isoeugenol,C10H12O2,C00000620,inhibit platelet aggregation in vitro,Oryctolagus cuniculus,"Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter42"
isoeugenol,C10H12O2,C00000620,used for the manufacture of vanillin,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter42"
Evodone,C10H12O2,C00003044,"allelopathic agent, inhibiting seed germination at a concentration of 0.05 mM","","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter48"
beta-Thujaplicin,C10H12O2,C00003062,antifungal activity,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter48"
gamma-Thujaplicin,C10H12O2,C00003063,antifungal activity,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter48"
coniferyl alcohol,C10H12O3,C00000614,antifungal activity,Agrobacterium tumifaciens,"Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter42"
coniferyl alcohol,C10H12O3,C00000614,antifungal activity,Phytophthora megasperma,"Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter42"
coniferyl alcohol,C10H12O3,C00000614,precursor of lignin biosynthesis,Plantae,"Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter42"
acetosyringone,C10H12O4,C00002686,"trigger off infection by crown gall disease, Agrobacterium tumefaciens",Plantae,"Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter41"
"2',6'-dihydroxy-4'-hydroxyacetophenone",C10H12O4,C00002695,inhibit 5-lipoxygenase,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter41"
"2',6'-dihydroxy-4'-hydroxyacetophenone",C10H12O4,C00002695,inhibit prostaglandin synthetase,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter41"
"2',6'-dihydroxy-4'-hydroxyacetophenone",C10H12O4,C00002695,inhibit the viability of Ehrlich ascites tumour cells,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter41"
xanthoxylin,C10H12O4,C00002710,inhibit 5-lipoxygenase,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter41"
xanthoxylin,C10H12O4,C00002710,inhibit prostaglandin synthetase,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter41"
xanthoxylin,C10H12O4,C00002710,inhibit the viability of Ehrlich ascites tumour cells,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter41"
anethole,C10H12O,C00002713,chemically used as a precursor in the manufacture of anisaldehyde,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter42"
anethole,C10H12O,C00002713,soetimes used as a flavouring agent,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter42"
anethole,C10H12O,C00002713,spasmolytic activity,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter42"
anethole,C10H12O,C00002713,stimulate hepatic regeneration,Rattus norvegicus,"Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter42"
anethole,C10H12O,C00002713,sweet taste,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter42"
anethole,C10H12O,C00002713,used as a carminative in veterinary practice,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter42"
estragole,C10H12O,C00002740,DNA binding activity,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter42"
estragole,C10H12O,C00002740,hypothermic,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter42"
estragole,C10H12O,C00002740,stimulate liver regeneration,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter42"
estragole,C10H12O,C00002740,used as a flavour in foods and liqueurs,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter42"
estragole,C10H12O,C00002740,used in perfumes,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter42"
Cuminaldehyde,C10H12O,C00003039,used in perfumery,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter48"
Cuminaldehyde,C10H12O,C00003039,"used in the synthesis of cuminaldehyde thiosemicarbazone, which has antiviral activity","","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter48"
N6-(delta2-isopentenyl)adenine,C10H13N5,C00001503,plant growth regulator in the transfer RNA,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter14"
cordycepin,C10H13N5O3,C00001495,antibiotic properties,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter14"
cordycepin,C10H13N5O3,C00001495,strong inhibitor of RNA synthesis,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter14"
trans-Zeatin,C10H13N5O,C00000091,enhance fruit blackening,Olea europaea,"Shulman,J.Exp.Bot.,24,(1973),655-661"
trans-Zeatin,C10H13N5O,C00000091,enhance lateral bud formation,Hordeum vulgare,"Sharif,J.Exp.Bot.,31,(1980),921-930"
trans-Zeatin,C10H13N5O,C00000091,enhance lateral bud formation,Pisum sativum,"Skoog,Metabolism and molecular activities of cytokinins,(1981),140-150"
trans-Zeatin,C10H13N5O,C00000091,enhance pod set,Glycine max,"Dyer,Plant Physiol.,84,(1987),240-243"
trans-Zeatin,C10H13N5O,C00000091,enhance seed germination,Fraxinus americana,"Tzou,Plant Physiol.,51,(1973),894-897"
trans-Zeatin,C10H13N5O,C00000091,enhance seed germination,Lactuca sativa,"Biddington,Physiol.Plant.,37,(1976),12-16"
trans-Zeatin,C10H13N5O,C00000091,increase cell size or cell number in apical meristem,Sinapis alba,"Bernier,Plant Physiol.,60,(1977),282-285"
trans-Zeatin,C10H13N5O,C00000091,increase phloem regeneration,Coleus blumei,"Houck,Amer.J.Bot.,64,(1977),799-809;Aloni,Plant Physiol.,93,(1990),982-989"
trans-Zeatin,C10H13N5O,C00000091,induce expansion growth of leaf,Cucumis sativus,"Thomas,Plant Physiol.,68,(1981),107-110;Rayle,Plant Physiol.,70,(1982),1634-1636;Ross,Plant Physiol.,70,(1982),1470-1474"
trans-Zeatin,C10H13N5O,C00000091,induce expansion growth of leaf,Phaseolus vulgaris,"Letham,Planta,74,(1967),228-242"
trans-Zeatin,C10H13N5O,C00000091,induce expansion growth of leaf,Raphanus sativus,"Letham,Physiol.Plant.,25,(1971),391-396;Letham,Phytochemistry,11,(1972),1023-1025;Thomas,Plant Physiol.,68,(1981),107-110;Dalessandro,Z.Pflanzenphysiol.,107,(1982),467-471"
trans-Zeatin,C10H13N5O,C00000091,induce expansion growth of leaf,Sinapis alba,"Tong,Planta,159,(1983),136-142"
trans-Zeatin,C10H13N5O,C00000091,induce flowering,Lemna paucicostata,"Gupta,Plant Cell Physiol.,11,(1970),97-106"
trans-Zeatin,C10H13N5O,C00000091,induce flowering,Sinapis alba,"Bernier,Plant Physiol.,60,(1977),282-285;"
trans-Zeatin,C10H13N5O,C00000091,induce flowering,Wolffia microscopia,"Venkataraman,Z.Pflanzenphysiol.,62,(1970),316-327"
trans-Zeatin,C10H13N5O,C00000091,promote early embryo growth,Phaseolus coccineus,"Bennici,Planta,147,(1979),27-29"
trans-Zeatin,C10H13N5O,C00000091,promote stomatal opening,Anthephora pubescens,"Jewer,Planta,150,(1980),218-221"
trans-Zeatin,C10H13N5O,C00000091,promote stomatal opening,Glycine max,"Mauk,Ann.Bot.,66,(1990),191-201"
trans-Zeatin,C10H13N5O,C00000091,promote stomatal opening,Zea mays,"Blackman,J.Exp.Bot.,35,(1984),174-179;Blackman,J.Exp.Bot.,36,(1985),39-48"
trans-Zeatin,C10H13N5O,C00000091,retard leaf senescence,Glycine max,"Lindoo,Plant Cell Physiol.,19,(1978),997-1006;Neumann,Plant Physiol.,72,(1983),182-185;Nooden,Plant Growth Substances 1985,(1986),324-332;Mauk,Ann.Bot.,66,(1990),191-201"
trans-Zeatin,C10H13N5O,C00000091,reverse abscisic acid inhibition of growth in germinating axes,Phaseolus vulgaris,"Walton,Plant Physiol.,45,(1970),37-40"
trans-Zeatin,C10H13N5O,C00000091,stimulate cell division with its stimulation of growth,Glycine max,"Manos,Plant Physiol.,57,(1976),894-897;Newton,J.Exp.Bot.,31,(1980),721-729"
trans-Zeatin,C10H13N5O,C00000091,stimulate differentiation of secondary xylem fiber,Helianthus annuus,"Aloni,Plant Physiol.,70,(1982),1631-1633"
actinidine,C10H13N,C00001961,cause excitation,Felidae,"Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter23"
actinidine,C10H13N,C00001961,occur in the defensive secretions,Animalia,"Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter23"
(-)-salsolinol,C10H13NO2,C00001915,dopamine antagonist in vivo (in cell culture and in radioreceptor assays),"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter21"
fusaric acid,C10H13NO2,C00002040,insecticidal activity,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter25"
fusaric acid,C10H13NO2,C00002040,produce wilting symptoms,Plantae,"Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter25"
damascenine,C10H13NO3,C00002333,antipyretic activity,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter31"
damascenine,C10H13NO3,C00002333,inhibit induced oedema formation in paw,Rattus norvegicus,"Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter31"
damascenine,C10H13NO3,C00002333,odoriferous principle of seeds,Nigella,"Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter31"
p-Cymene,C10H14,C00003040,"toxic, LD50 orally in 4.75 g/kg body-weight",Rattus norvegicus,"Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter48"
p-Cymene,C10H14,C00003040,used as a local analgesic in rheumatic conditions,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter48"
(-)-anabasine,C10H14N2,C00002015,acute and subacute toxicity,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter25"
(-)-anabasine,C10H14N2,C00002015,insecticidal property,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter25"
(-)-anabasine,C10H14N2,C00002015,major use is to discourage smoking of tobacco,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter25"
(-)-anabasine,C10H14N2,C00002015,respiratory muscle-stimulating action,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter25"
nicotine,C10H14N2,C00002057,addictive component of tobacco with tranquillising properties,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter25"
nicotine,C10H14N2,C00002057,fatal dose is about 50 mg,Homo sapiens,"Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter25"
nicotine,C10H14N2,C00002057,"highly toxic, causing respiratory paralysis","","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter25"
nicotine,C10H14N2,C00002057,used as a horticultural insecticide,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter25"
Carvone oxide,C10H14O2,C00003030,major attractant,Eulaema,"Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter48"
Piquerol A,C10H14O2,C00003055,acaricide,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter48"
Piquerol A,C10H14O2,C00003055,allelopathic activity,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter48"
Piquerol A,C10H14O2,C00003055,molluscicide,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter48"
Piquerol A,C10H14O2,C00003055,trypanosomal activity,chagas sickness,"Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter48"
Dolichodial,C10H14O2,C00003079,lachrymatory,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter49"
Dolichodial,C10H14O2,C00003079,repellent,Insecta,"Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter49"
scopoletin,C10H18O4,C00002499,hypotensive activity,Animalia,"Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter35"
p-cis-Menth-2-en-1-ol,C10H18O,C00000153,allelopathic activity,"",""
"1,8-Cineole",C10H18O,C00000136,anthelmintic activity,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter48"
"1,8-Cineole",C10H18O,C00000136,antiseptic activity,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter48"
"1,8-Cineole",C10H18O,C00000136,expectorant activity,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter48"
"1,8-Cineole",C10H18O,C00000136,repellent activity,Blattaria,"Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter48"
"1,8-Cineole",C10H18O,C00000136,used as a flavouring,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter48"
