gene	uniprot
hsa:HSA_11386165	uniplot:Q07820
hsa:HSA_11386181	uniplot:Q14774
hsa:HSA_11386183	uniplot:Q9Y6W5
hsa:HSA_11386193	uniplot:O14709
hsa:HSA_11386193	uniplot:Q7Z6G1
hsa:HSA_11386197	uniplot:Q13461
hsa:HSA_11386197	uniplot:A0A0A1EII5
hsa:HSA_114158664	uniplot:P0C2Y1
hsa:HSA_114796644	uniplot:P18754
hsa:HSA_114796644	uniplot:A0A0S2Z404
hsa:HSA_114842410	uniplot:O75152
hsa:HSA_115270970	uniplot:Q96S66
hsa:HSA_115270970	uniplot:A0A024R0G0
hsa:HSA_115298657	uniplot:P31151
hsa:HSA_115298668	uniplot:A0MNP2
hsa:HSA_115298668	uniplot:Q96DI7
hsa:HSA_115298674	uniplot:P14543
hsa:HSA_115298686	uniplot:B3KNI3
hsa:HSA_115298686	uniplot:Q9Y6X2
hsa:HSA_115305569	uniplot:P30542
hsa:HSA_115387094	uniplot:P21912
hsa:HSA_115387104	uniplot:B9EKV4
hsa:HSA_115387104	uniplot:P49189
hsa:HSA_115387106	uniplot:P41271
hsa:HSA_115387108	uniplot:Q08116
hsa:HSA_115387108	uniplot:A0A024R945
hsa:HSA_115392133	uniplot:Q17RW2
hsa:HSA_115430099	uniplot:P01222
hsa:HSA_11545761	uniplot:Q9HB15
hsa:HSA_11545855	uniplot:Q9H477
hsa:HSA_11545918	uniplot:Q9GZM7
hsa:HSA_115511046	uniplot:O95789
hsa:HSA_115529437	uniplot:Q8IXX5
hsa:HSA_115529471	uniplot:Q15619
hsa:HSA_115529471	uniplot:A0A126GV94
hsa:HSA_115583667	uniplot:Q9UI33
hsa:HSA_115583685	uniplot:P53985
hsa:HSA_115583685	uniplot:A0A024R0H1
hsa:HSA_11559927	uniplot:O60783
hsa:HSA_115647957	uniplot:Q9H497
hsa:HSA_116063556	uniplot:Q9GZN0
hsa:HSA_116089280	uniplot:Q9C0F3
hsa:HSA_116089280	uniplot:A0A024RAF3
hsa:HSA_116089282	uniplot:Q7Z3C6
hsa:HSA_116089282	uniplot:A0A024R438
hsa:HSA_116089292	uniplot:A8KA77
hsa:HSA_116089292	uniplot:Q7Z4L5
hsa:HSA_116089333	uniplot:Q5VTJ3
hsa:HSA_116174738	uniplot:Q9BXP8
hsa:HSA_116235480	uniplot:Q96JE7
hsa:HSA_116235485	uniplot:Q8NFT8
hsa:HSA_116256356	uniplot:P53420
hsa:HSA_116268097	uniplot:Q96L58
hsa:HSA_116284382	uniplot:Q8TDU6
hsa:HSA_116284398	uniplot:O43516
hsa:HSA_116284398	uniplot:Q2YDC4
hsa:HSA_116284398	uniplot:A0A140VJZ9
hsa:HSA_11641289	uniplot:Q9H5Q4
hsa:HSA_116517330	uniplot:Q6QHK4
hsa:HSA_116536085	uniplot:Q9HCR9
hsa:HSA_116642887	uniplot:Q8N490
hsa:HSA_116642887	uniplot:A0A024R415
hsa:HSA_116734679	uniplot:Q5T124
hsa:HSA_116734702	uniplot:P35453
hsa:HSA_116734704	uniplot:Q7Z5L9
hsa:HSA_116734717	uniplot:P05186
hsa:HSA_116734717	uniplot:A0A024RAG0
hsa:HSA_116734847	uniplot:P35573
hsa:HSA_116734847	uniplot:A0A0S2A4E4
hsa:HSA_116805334	uniplot:Q8WZ71
hsa:HSA_116812567	uniplot:P57735
hsa:HSA_116812575	uniplot:Q9Y5A9
hsa:HSA_116812636	uniplot:Q9H4B0
hsa:HSA_116829964	uniplot:Q15726
hsa:HSA_116875763	uniplot:Q9H0N0
hsa:HSA_116875844	uniplot:Q9HAB8
hsa:HSA_116875848	uniplot:Q6P995
hsa:HSA_11693180	uniplot:Q9Y5M6
hsa:HSA_11693180	uniplot:A0A024R947
hsa:HSA_117168283	uniplot:Q9UHF3
hsa:HSA_117190262	uniplot:B3KWP1
hsa:HSA_117190262	uniplot:Q9H2P9
hsa:HSA_117190517	uniplot:Q9UHE5
hsa:HSA_117414158	uniplot:Q6TGC4
hsa:HSA_117414168	uniplot:Q5VU65
hsa:HSA_117606362	uniplot:Q96BI3
hsa:HSA_117606370	uniplot:Q5EBM0
hsa:HSA_117938270	uniplot:Q8NCE2
hsa:HSA_117938299	uniplot:Q53S08
hsa:HSA_117956393	uniplot:Q8TAY7
hsa:HSA_117956409	uniplot:Q8N187
hsa:HSA_117956409	uniplot:A0A024R427
hsa:HSA_117968353	uniplot:Q9BZD4
hsa:HSA_118343647	uniplot:Q9Y547
hsa:HSA_118402582	uniplot:Q12834
hsa:HSA_118421091	uniplot:Q8NDL9
hsa:HSA_118442839	uniplot:Q03591
hsa:HSA_118572606	uniplot:Q96RW7
hsa:HSA_118600975	uniplot:O00186
hsa:HSA_118600995	uniplot:P0CG36
hsa:HSA_11875211	uniplot:E5KRP5
hsa:HSA_11875211	uniplot:Q9UBP0
hsa:HSA_118766347	uniplot:P61129
hsa:HSA_118766347	uniplot:Q6ZN12
hsa:HSA_118918409	uniplot:Q5SWH9
hsa:HSA_119360348	uniplot:P04066
hsa:HSA_119372308	uniplot:P16278
hsa:HSA_119372317	uniplot:A4UGR9
hsa:HSA_119392086	uniplot:Q14623
hsa:HSA_119395727	uniplot:O14958
hsa:HSA_119395740	uniplot:P23229
hsa:HSA_119395764	uniplot:Q96P20
hsa:HSA_11967969	uniplot:Q9H222
hsa:HSA_119943098	uniplot:Q12882
hsa:HSA_119943152	uniplot:Q6IEY1
hsa:HSA_119943152	uniplot:A0A126GV92
hsa:HSA_11995472	uniplot:Q9HB90
hsa:HSA_119964730	uniplot:Q9Y276
hsa:HSA_119964730	uniplot:A0A024R467
hsa:HSA_12056479	uniplot:A0AVP6
hsa:HSA_12056479	uniplot:O95399
hsa:HSA_121114306	uniplot:Q13562
hsa:HSA_121582460	uniplot:Q9H7X2
hsa:HSA_122056476	uniplot:Q14790
hsa:HSA_122056685	uniplot:Q9ULC6
hsa:HSA_12232457	uniplot:Q9H790
hsa:HSA_12232469	uniplot:Q9H871
hsa:HSA_12232479	uniplot:Q9H2C2
hsa:HSA_12232479	uniplot:A0A024R3V6
hsa:HSA_122937233	uniplot:O95886
hsa:HSA_122937243	uniplot:Q5VZP5
hsa:HSA_122937261	uniplot:Q96PX6
hsa:HSA_122937275	uniplot:U3KPV4
hsa:HSA_122937319	uniplot:Q03828
hsa:HSA_122937341	uniplot:A6NCI8
hsa:HSA_122937347	uniplot:Q6ZWE6
hsa:HSA_122937446	uniplot:B2RUY7
hsa:HSA_122939159	uniplot:Q9Y2J8
hsa:HSA_122939159	uniplot:A0A024RA98
hsa:HSA_122939161	uniplot:Q9ULW8
hsa:HSA_122939208	uniplot:P23497
hsa:HSA_122939208	uniplot:Q6ZMK3
hsa:HSA_12383051	uniplot:Q9UIK5
hsa:HSA_12383064	uniplot:Q9H6D8
hsa:HSA_12383066	uniplot:B7ZAR7
hsa:HSA_12383066	uniplot:Q9H992
hsa:HSA_12383082	uniplot:Q9H816
hsa:HSA_124028525	uniplot:Q9NSD9
hsa:HSA_12408675	uniplot:B1AQP2
hsa:HSA_12408675	uniplot:Q9UHV9
hsa:HSA_124248539	uniplot:Q96BJ3
hsa:HSA_124430752	uniplot:Q2KJY2
hsa:HSA_125346184	uniplot:A6PVY3
hsa:HSA_12597661	uniplot:Q9H9J2
hsa:HSA_12597661	uniplot:A0A024R473
hsa:HSA_125987596	uniplot:Q9BY07
hsa:HSA_125988411	uniplot:Q8N4P2
hsa:HSA_126012573	uniplot:P98164
hsa:HSA_126012573	uniplot:Q7Z5C0
hsa:HSA_126012573	uniplot:Q7Z5C1
hsa:HSA_126090909	uniplot:Q05925
hsa:HSA_126116596	uniplot:B3KWI2
hsa:HSA_126116596	uniplot:Q8IZT6
hsa:HSA_126362949	uniplot:Q9NY46
hsa:HSA_126365795	uniplot:O95069
hsa:HSA_126365795	uniplot:Q6ZW95
hsa:HSA_12707562	uniplot:O15055
hsa:HSA_12707577	uniplot:P54821
hsa:HSA_12751473	uniplot:Q9Y6K1
hsa:HSA_13027388	uniplot:Q9C0K7
hsa:HSA_13027388	uniplot:A0A024R420
hsa:HSA_13027636	uniplot:P21453
hsa:HSA_13128860	uniplot:Q13547
hsa:HSA_13128860	uniplot:Q6IT96
hsa:HSA_13128960	uniplot:O75712
hsa:HSA_13128998	uniplot:Q9BWG6
hsa:HSA_13129044	uniplot:Q9H2J4
hsa:HSA_13129094	uniplot:Q9BVC5
hsa:HSA_13129108	uniplot:Q9BV36
hsa:HSA_13129108	uniplot:A0A024R492
hsa:HSA_13129110	uniplot:Q9BQA1
hsa:HSA_13129110	uniplot:A0A024R0H7
hsa:HSA_13162283	uniplot:Q13021
hsa:HSA_13186302	uniplot:Q9HC96
hsa:HSA_13236495	uniplot:Q08257
hsa:HSA_13236559	uniplot:Q9BU76
hsa:HSA_13236565	uniplot:Q9BU64
hsa:HSA_13236587	uniplot:Q9BTV4
hsa:HSA_13236587	uniplot:A0A024R2F9
hsa:HSA_13249346	uniplot:E5LCN7
hsa:HSA_13249346	uniplot:P23582
hsa:HSA_13259503	uniplot:Q15466
hsa:HSA_13259510	uniplot:Q14203
hsa:HSA_13259510	uniplot:Q6MZZ3
hsa:HSA_13259550	uniplot:P09912
hsa:HSA_132626790	uniplot:B3KR97
hsa:HSA_132626790	uniplot:Q5SW96
hsa:HSA_13325064	uniplot:Q9HCU4
hsa:HSA_13325075	uniplot:O00391
hsa:HSA_13325075	uniplot:Q13876
hsa:HSA_13375618	uniplot:Q15392
hsa:HSA_13375632	uniplot:Q96CA4
hsa:HSA_13375632	uniplot:Q9GZZ0
hsa:HSA_13375791	uniplot:Q9H9L7
hsa:HSA_13375938	uniplot:Q9H9Z2
hsa:HSA_13376109	uniplot:Q7Z624
hsa:HSA_13376142	uniplot:Q9H9Q4
hsa:HSA_13376247	uniplot:Q499Z4
hsa:HSA_13376737	uniplot:Q9H8M1
hsa:HSA_13376798	uniplot:Q9H6R7
hsa:HSA_13376882	uniplot:Q8NCE0
hsa:HSA_13376882	uniplot:A0A024R2H2
hsa:HSA_13377002	uniplot:P07320
hsa:HSA_13377002	uniplot:A0A140CTX7
hsa:HSA_133893286	uniplot:A8K3T7
hsa:HSA_133893286	uniplot:Q9BZP6
hsa:HSA_134133226	uniplot:Q6S8J3
hsa:HSA_134133308	uniplot:Q6IPT4
hsa:HSA_134142824	uniplot:O60548
hsa:HSA_134152725	uniplot:Q01973
hsa:HSA_134244291	uniplot:O60883
hsa:HSA_134288890	uniplot:Q8IYB7
hsa:HSA_134288906	uniplot:Q6ZTA4
hsa:HSA_134304853	uniplot:Q52LW3
hsa:HSA_13435356	uniplot:O00165
hsa:HSA_13435356	uniplot:A0A0S2Z591
hsa:HSA_13435377	uniplot:B2RCN8
hsa:HSA_13435377	uniplot:Q9Y692
hsa:HSA_13487900	uniplot:P35503
hsa:HSA_13487900	uniplot:Q5DT01
hsa:HSA_13489073	uniplot:Q9GZT9
hsa:HSA_13489073	uniplot:R4SCQ0
hsa:HSA_13489093	uniplot:Q9BW60
hsa:HSA_13491174	uniplot:P49006
hsa:HSA_13518021	uniplot:Q93097
hsa:HSA_13540531	uniplot:Q9H0C8
hsa:HSA_13540533	uniplot:Q9BXD5
hsa:HSA_13540580	uniplot:Q9H0Q0
hsa:HSA_13540596	uniplot:Q9H246
hsa:HSA_13540596	uniplot:A0A024R926
hsa:HSA_13569885	uniplot:Q9NQX7
hsa:HSA_13569885	uniplot:A0A024R466
hsa:HSA_13569938	uniplot:Q9BVH7
hsa:HSA_136255216	uniplot:Q5FWE3
hsa:HSA_13699256	uniplot:Q12972
hsa:HSA_13775198	uniplot:Q9H299
hsa:HSA_13899263	uniplot:Q9BQQ7
hsa:HSA_13899299	uniplot:P58004
hsa:HSA_13929467	uniplot:O00590
hsa:HSA_13929467	uniplot:A0A024R2X7
hsa:HSA_139394556	uniplot:Q1RMZ5
hsa:HSA_139394556	uniplot:Q9NUA8
hsa:HSA_13994257	uniplot:P82921
hsa:HSA_13994257	uniplot:Q99768
hsa:HSA_13994259	uniplot:P82675
hsa:HSA_14028877	uniplot:P82663
hsa:HSA_14042945	uniplot:Q9BX74
hsa:HSA_14042980	uniplot:Q9BYZ8
hsa:HSA_14042980	uniplot:A0A024R0M1
hsa:HSA_14043026	uniplot:Q9BV40
hsa:HSA_14043042	uniplot:P51686
hsa:HSA_14149865	uniplot:Q9H8M9
hsa:HSA_14149997	uniplot:Q9H094
hsa:HSA_14150064	uniplot:Q9BT43
hsa:HSA_14150076	uniplot:Q9BSR8
hsa:HSA_14150082	uniplot:Q9BSK2
hsa:HSA_14150090	uniplot:Q9BSG0
hsa:HSA_14150098	uniplot:Q9BSE2
hsa:HSA_14150100	uniplot:Q5TDE9
hsa:HSA_14150100	uniplot:Q9BSD7
hsa:HSA_14150169	uniplot:B2RAA8
hsa:HSA_14150169	uniplot:Q9BR61
hsa:HSA_14150169	uniplot:A0A024R915
hsa:HSA_14165272	uniplot:Q9BXM7
hsa:HSA_14165276	uniplot:Q9H1Z8
hsa:HSA_14165282	uniplot:P58294
hsa:HSA_14165282	uniplot:A0A024R0B1
hsa:HSA_14196445	uniplot:Q96NX5
hsa:HSA_14210524	uniplot:Q9UMX3
hsa:HSA_14210524	uniplot:A0A024R4A8
hsa:HSA_14210538	uniplot:Q9BXI3
hsa:HSA_14211540	uniplot:Q9HCE1
hsa:HSA_14211837	uniplot:P0CG37
hsa:HSA_14211869	uniplot:Q9BYE3
hsa:HSA_14211943	uniplot:P58215
hsa:HSA_14249168	uniplot:Q6PGN9
hsa:HSA_14249168	uniplot:A0A024R099
hsa:HSA_14249394	uniplot:Q96IR7
hsa:HSA_14249478	uniplot:Q9H425
hsa:HSA_14249478	uniplot:A0A024R3S1
hsa:HSA_14249524	uniplot:Q96K49
hsa:HSA_14249590	uniplot:Q96JY0
hsa:HSA_14249590	uniplot:A0A140VJP0
hsa:HSA_14249632	uniplot:Q969L4
hsa:HSA_14277126	uniplot:Q9H2H8
hsa:HSA_14277126	uniplot:A0A0S2Z5A8
hsa:HSA_142976757	uniplot:Q5VY09
hsa:HSA_144446030	uniplot:O60449
hsa:HSA_144446030	uniplot:Q59H44
hsa:HSA_144953901	uniplot:B4DY77
hsa:HSA_144953901	uniplot:Q8N6M5
hsa:HSA_144953907	uniplot:Q6ZSS7
hsa:HSA_145275189	uniplot:Q9BW04
hsa:HSA_145275210	uniplot:Q9H9Y2
hsa:HSA_145301607	uniplot:Q6YHU6
hsa:HSA_145309317	uniplot:Q86WT1
hsa:HSA_145309326	uniplot:P11047
hsa:HSA_145309326	uniplot:Q6NVY8
hsa:HSA_145312256	uniplot:Q9Y2W6
hsa:HSA_14550416	uniplot:Q96PJ5
hsa:HSA_145587088	uniplot:Q6ZUX3
hsa:HSA_145611428	uniplot:Q7Z5Y6
hsa:HSA_14591909	uniplot:A2RUM7
hsa:HSA_14591909	uniplot:P46777
hsa:HSA_14591921	uniplot:Q9BRL7
hsa:HSA_14591921	uniplot:A0A024R2N5
hsa:HSA_146198777	uniplot:Q8N831
hsa:HSA_146198777	uniplot:A0A140VJY4
hsa:HSA_146260271	uniplot:B4DX81
hsa:HSA_146260271	uniplot:Q0VFZ6
hsa:HSA_146261165	uniplot:Q6UX82
hsa:HSA_14780902	uniplot:Q96JB8
hsa:HSA_14790190	uniplot:Q96T58
hsa:HSA_147902746	uniplot:A1L020
hsa:HSA_148227672	uniplot:P35222
hsa:HSA_148227672	uniplot:A0A024R2Q3
hsa:HSA_148228293	uniplot:Q6UX46
hsa:HSA_148228819	uniplot:B7ZAQ6
hsa:HSA_148228819	uniplot:P0CG08
hsa:HSA_148228819	uniplot:X5D7G6
hsa:HSA_148228829	uniplot:P46091
hsa:HSA_148229144	uniplot:Q9UBC9
hsa:HSA_148229491	uniplot:A0A096LP55
hsa:HSA_148234215	uniplot:Q8N8V2
hsa:HSA_148236531	uniplot:Q53SZ7
hsa:HSA_148277037	uniplot:Q2M2I8
hsa:HSA_148277052	uniplot:Q9H0R3
hsa:HSA_148356236	uniplot:Q5VWM5
hsa:HSA_148491057	uniplot:P11844
hsa:HSA_148491057	uniplot:A0A0S2A4T3
hsa:HSA_148491074	uniplot:P07316
hsa:HSA_148491091	uniplot:Q6NUK1
hsa:HSA_148528975	uniplot:Q1L5Z9
hsa:HSA_148529016	uniplot:Q6ZSS3
hsa:HSA_148536855	uniplot:P53621
hsa:HSA_148596977	uniplot:P17040
hsa:HSA_148664216	uniplot:Q6IQ49
hsa:HSA_148727259	uniplot:Q6AI14
hsa:HSA_148746191	uniplot:Q96PD6
hsa:HSA_148746195	uniplot:Q07283
hsa:HSA_148746199	uniplot:P62899
hsa:HSA_148747866	uniplot:O60243
hsa:HSA_148763347	uniplot:Q4VBY6
hsa:HSA_148763347	uniplot:Q9UQ88
hsa:HSA_148806923	uniplot:Q7RTY3
hsa:HSA_148806925	uniplot:Q9HBW9
hsa:HSA_148833486	uniplot:Q9BWL3
hsa:HSA_148922892	uniplot:B1APZ0
hsa:HSA_148922892	uniplot:P50150
hsa:HSA_148922949	uniplot:Q2VPA4
hsa:HSA_149158704	uniplot:P35367
hsa:HSA_14916437	uniplot:Q96JT2
hsa:HSA_149192843	uniplot:Q9P2G4
hsa:HSA_149193323	uniplot:Q86YJ6
hsa:HSA_149274624	uniplot:Q53QV2
hsa:HSA_149274646	uniplot:Q5VZ46
hsa:HSA_149274653	uniplot:Q9P2K9
hsa:HSA_149589021	uniplot:B3KVM3
hsa:HSA_149589021	uniplot:Q9C098
hsa:HSA_149773456	uniplot:O94854
hsa:HSA_149773456	uniplot:A0A0A6YYJ5
hsa:HSA_149773468	uniplot:Q09MP3
hsa:HSA_149944451	uniplot:Q9P217
hsa:HSA_149944548	uniplot:Q6ZNJ1
hsa:HSA_149999606	uniplot:Q13724
hsa:HSA_150010572	uniplot:Q8TEJ3
hsa:HSA_150036262	uniplot:Q14CN2
hsa:HSA_150170696	uniplot:Q0P641
hsa:HSA_15029506	uniplot:P13378
hsa:HSA_150378505	uniplot:Q8N3R3
hsa:HSA_150378552	uniplot:O60279
hsa:HSA_150456460	uniplot:Q4G0R4
hsa:HSA_150456460	uniplot:Q5JZY3
hsa:HSA_150456471	uniplot:A2VCK2
hsa:HSA_15082252	uniplot:Q9BS34
hsa:HSA_15082261	uniplot:D9ZGG3
hsa:HSA_15082261	uniplot:O14904
hsa:HSA_151301035	uniplot:Q9NQZ5
hsa:HSA_151301098	uniplot:N0DVB2
hsa:HSA_151301098	uniplot:Q9HCK1
hsa:HSA_151301127	uniplot:Q8WXX0
hsa:HSA_151301204	uniplot:Q96C45
hsa:HSA_153070822	uniplot:Q9Y4U1
hsa:HSA_153085461	uniplot:Q9Y241
hsa:HSA_153218662	uniplot:P13584
hsa:HSA_153251745	uniplot:Q9H019
hsa:HSA_153251745	uniplot:A0A0S2Z5H6
hsa:HSA_153251865	uniplot:Q68DN1
hsa:HSA_153251878	uniplot:Q8IVJ6
hsa:HSA_153251878	uniplot:Q8IVJ8
hsa:HSA_153266878	uniplot:Q14435
hsa:HSA_153267418	uniplot:Q8WWZ3
hsa:HSA_15375314	uniplot:Q969G2
hsa:HSA_15375314	uniplot:A0A0S2Z5S4
hsa:HSA_153791330	uniplot:A8K6Q2
hsa:HSA_153791330	uniplot:Q6UXK5
hsa:HSA_153791352	uniplot:A5A3E0
hsa:HSA_153791466	uniplot:Q86WK6
hsa:HSA_153792780	uniplot:Q76L83
hsa:HSA_153946397	uniplot:Q13733
hsa:HSA_154090997	uniplot:Q8IYE1
hsa:HSA_154090997	uniplot:Q96LI1
hsa:HSA_154091328	uniplot:P51681
hsa:HSA_154091328	uniplot:Q38L21
hsa:HSA_154146231	uniplot:Q96SC8
hsa:HSA_15431290	uniplot:P62913
hsa:HSA_15431290	uniplot:Q5VVD0
hsa:HSA_15431293	uniplot:P61313
hsa:HSA_15431293	uniplot:A0A024R2Q4
hsa:HSA_154354964	uniplot:Q16891
hsa:HSA_15451860	uniplot:P56539
hsa:HSA_15451860	uniplot:A0A024R2D8
hsa:HSA_15451902	uniplot:A8K602
hsa:HSA_15451902	uniplot:B3KMM5
hsa:HSA_15451902	uniplot:Q8IVH8
hsa:HSA_15451916	uniplot:Q13873
hsa:HSA_154800457	uniplot:Q76N32
hsa:HSA_154813204	uniplot:P09529
hsa:HSA_154937327	uniplot:O00488
hsa:HSA_154937344	uniplot:Q7Z5L3
hsa:HSA_155030190	uniplot:Q96G25
hsa:HSA_155030204	uniplot:Q8WZA2
hsa:HSA_155030240	uniplot:Q96Q11
hsa:HSA_155030240	uniplot:A0A024R2H7
hsa:HSA_15529982	uniplot:Q96G21
hsa:HSA_15529998	uniplot:Q9UBY0
hsa:HSA_15553097	uniplot:O95568
hsa:HSA_15553097	uniplot:A0A024R8Y7
hsa:HSA_15559207	uniplot:P08217
hsa:HSA_155722990	uniplot:Q9BWU0
hsa:HSA_155723000	uniplot:Q5TCX8
hsa:HSA_155969693	uniplot:Q5VTT5
hsa:HSA_155969701	uniplot:B3KXY4
hsa:HSA_155969701	uniplot:Q6ZVH7
hsa:HSA_155969705	uniplot:A8K8H0
hsa:HSA_155969705	uniplot:P51801
hsa:HSA_156071450	uniplot:B1AKJ5
hsa:HSA_156071450	uniplot:O43847
hsa:HSA_156071450	uniplot:Q6UUU9
hsa:HSA_156071472	uniplot:P06729
hsa:HSA_156071472	uniplot:Q53F96
hsa:HSA_156104878	uniplot:O94925
hsa:HSA_156105679	uniplot:P49810
hsa:HSA_156105705	uniplot:Q9NRH2
hsa:HSA_156105705	uniplot:A0A024R2Y6
hsa:HSA_156119621	uniplot:Q02535
hsa:HSA_156119627	uniplot:O60928
